county_code,site_name,county_total,dominant_cluster,dominant_cluster_prop,n_clusters_present,cluster_entropy,county_total_suppressed,dominant_cluster_prop_suppressed,dominant_cluster_suppressed,cluster_entropy_suppressed
12069,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
12071,Hopkins,2,4,0.5,2,0.6931471805599453,NA,NA,NA,NA
12073,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
12085,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
12086,Hopkins,4,4,0.5,3,1.0397207708399179,NA,NA,NA,NA
12093,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
12097,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
12099,Hopkins,7,3,0.42857142857142855,3,1.0789922078775833,NA,NA,NA,NA
12101,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
12103,Hopkins,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
12105,Hopkins,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
12111,Hopkins,2,1,0.5,2,0.6931471805599453,NA,NA,NA,NA
12113,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
12115,Hopkins,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
12119,Hopkins,2,3,0.5,2,0.6931471805599453,NA,NA,NA,NA
12127,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
12131,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
13000,Hopkins,16,3,1,1,-0,16,1,3,-0
13015,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
13059,Hopkins,16,1,1,1,-0,16,1,1,-0
13067,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
13077,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
13245,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
13285,Hopkins,32,2,1,1,-0,32,1,2,-0
15000,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
15003,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
16017,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
17093,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
17097,Hopkins,2,2,0.5,2,0.6931471805599453,NA,NA,NA,NA
18053,Hopkins,16,2,1,1,-0,16,1,2,-0
18057,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
18097,Hopkins,2,4,1,1,-0,NA,NA,NA,NA
20173,Hopkins,1,5,1,1,-0,NA,NA,NA,NA
21000,Hopkins,17,2,1,1,-0,17,1,2,-0
21067,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
21195,Hopkins,16,1,1,1,-0,16,1,1,-0
21199,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
22005,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
22011,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
22015,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
22051,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
22089,Hopkins,1,4,1,1,-0,NA,NA,NA,NA
22097,Hopkins,1,3,1,1,-0,NA,NA,NA,NA
22115,Hopkins,1,1,1,1,-0,NA,NA,NA,NA
23027,Hopkins,1,2,1,1,-0,NA,NA,NA,NA
24000,Hopkins,1891,3,0.2654680063458488,5,1.5266418746440964,1891,0.2654680063458488,3,1.5266418746440964
24001,Hopkins,53,4,0.41509433962264153,5,1.3359297108754022,53,0.41509433962264153,4,1.3359297108754022
24003,Hopkins,1570,3,0.2929936305732484,5,1.5255433787443364,1570,0.2929936305732484,3,1.5255433787443364
24005,Hopkins,9640,3,0.3020746887966805,5,1.5016286463981778,9640,0.3020746887966805,3,1.5016286463981778
24009,Hopkins,74,3,0.6486486486486487,5,1.076176790684141,74,0.6486486486486487,3,1.076176790684141
24011,Hopkins,28,4,0.6785714285714286,3,0.8487506669319027,28,0.6785714285714286,4,0.8487506669319027
24013,Hopkins,432,4,0.3333333333333333,5,1.4064544208086236,432,0.3333333333333333,4,1.4064544208086236
