site_name,stratum,pooled_cluster_label,variable,level,summary_type,n,denom,prop,pooled_cluster
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sex_category,Unknown,categorical,1,580,0.0017241379310344827,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,traj_cluster_ra,1,categorical,2147,2147,1,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,traj_cluster_ra,2,categorical,686,686,1,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,traj_cluster_ra,3,categorical,8673,8673,1,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,traj_cluster_ra,4,categorical,8318,8318,1,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,vaso_any_72h,0,categorical,6700,19824,0.3379741727199354,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,vaso_any_72h,1,categorical,13124,19824,0.6620258272800645,4
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,advanced_cancer_any_poa,0,categorical,12999,14620,0.889124487004104,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,advanced_cancer_any_poa,1,categorical,1621,14620,0.11087551299589603,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,any_imv_72h,0,categorical,205,11080,0.018501805054151624,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,any_imv_72h,1,categorical,14415,14620,0.9859781121751026,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,any_imv_icu,0,categorical,159,11080,0.014350180505415162,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,any_imv_icu,1,categorical,14461,14620,0.9891244870041039,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,cachexia_poa,0,categorical,13990,14620,0.9569083447332422,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,cachexia_poa,1,categorical,630,14620,0.043091655266757865,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,death_in_hosp,0,categorical,9459,14620,0.6469904240766073,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,death_in_hosp,1,categorical,5161,14620,0.3530095759233926,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,death_or_hospice,0,categorical,8975,14620,0.6138850889192886,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,death_or_hospice,1,categorical,5645,14620,0.38611491108071133,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,CPAP,categorical,22,12122,0.0018148820326678765,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,FACE MASK,categorical,475,14620,0.032489740082079346,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,HIGH FLOW NC,categorical,827,14620,0.05656634746922025,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,IMV,categorical,9360,14620,0.640218878248974,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,NASAL CANNULA,categorical,913,14620,0.06244870041039672,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,NIPPV,categorical,710,14426,0.0492166920837377,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,Other,categorical,51,11729,0.004348196777218859,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,ROOM AIR,categorical,299,14620,0.02045143638850889,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,TRACH COLLAR,categorical,38,14620,0.0025991792065663474,5
pooled,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,device_t0,Unknown,categorical,1766,14620,0.12079343365253079,5
